subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH
capsule,-340.0000000000001,339.99999999999994,-100.00000000000011,99.9999999999999,-70.86720891455245,70.86720891455245,278482.5076992389,-99.99999085865272,0.0,4.751385759458017,1.55e-06,0.6402570096608822,413069.03849089175,1840.597897583862,6870.957336760488,6355.780259059863,100,140,200

capsule,-390.0000000000003,389.9999999999997,-100.00000000000003,99.99999999999999,-70.98077627558871,70.98077627558871,321853.453569504,-124.99998947827007,0.0,4.804280178145017,1.55e-06,0.7389623236602827,476749.8862324405,2157.8396785547407,10101.49646771666,9500.93649386615,100,140,250

capsule,-440.0000000000001,439.99999999999994,-100.00000000000011,99.99999999999989,-70.03263605602584,70.03263605602584,365224.44088098593,-149.99989357193382,0.0,4.8446628190150145,1.55e-06,0.837666275828724,540429.8553733703,2475.0757569039774,14255.728589160619,13569.788882975987,100,140,300

capsule,-489.9999999999994,490.0000000000007,-100.00000000000006,99.99999999999994,-71.21214953559421,71.21214953559421,408595.38709369255,-174.9999806581894,0.0,4.876530173215343,1.55e-06,0.9363712300527365,604110.4710017655,2792.311305503318,19457.047402939144,18685.7299859614,100,140,350

capsule,-540.0000000000005,539.9999999999995,-100.00000000000026,99.99999999999974,-71.32890666678004,71.32890666678004,451965.2476409572,-199.99997821482833,0.0,4.9026357927043485,1.55e-06,1.0350858528952418,667797.3244485431,3109.566200583462,25828.995466484183,24972.30214638829,100,140,400

capsule,-589.9999999999997,590.0000000000002,-100.00000000000014,99.99999999999986,-71.44619493815931,71.44619493815931,495337.3068729709,-224.99997696163524,0.0,4.923693071377048,1.55e-06,1.133781826469416,731472.1461093007,3426.780174091622,33494.49137657361,32552.421042777558,100,140,450

capsule,-639.9999999999999,640.0000000000002,-99.99999999999994,100.00000000000006,-71.56389482425027,71.56389482425027,538708.384765083,-249.9999842409781,0.0,4.941517599850974,1.55e-06,1.2324840882715264,795151.0246913075,3744.006178253191,42577.27368830552,41549.83127963247,100,140,500

capsule,-690.0000000000013,689.9999999999989,-100.00000000000031,99.99999999999969,-71.68191989478561,71.68191989478561,582077.9004565211,-275.0000126495142,0.0,4.957096878084346,1.55e-06,1.3312016933142288,858839.8021382121,4061.2658930015587,53201.1576695884,52088.343113885596,100,140,550

capsule,-739.9999999999995,740.0000000000007,-100.00000000000017,99.99999999999983,-70.04516003129274,70.04516003129274,625449.0074997803,-300.00001133735384,0.0,4.97017926141195,1.55e-06,1.4299048672484025,922519.2691925177,4378.492790556507,65488.64087322969,64290.45268404593,100,140,600

capsule,-790.0000000000006,789.9999999999994,-99.99999999999986,100.00000000000014,-70.16365920891126,70.16365920891126,668819.3739238924,-325.00000680379355,0.0,4.9817207251208,1.55e-06,1.5286154250869104,986203.5000560712,4695.736550300627,79563.80786904988,78280.24947756164,100,140,650

capsule,-840.0000000000018,839.9999999999982,-100.00000000000027,99.99999999999973,-70.28233412651144,70.28233412651144,712191.0914074137,-350.0000005942822,0.0,4.991476057110999,1.55e-06,1.627304556468892,1049873.9073992851,5012.929408836726,95548.71768293963,94179.77873867279,100,140,700

capsule,-890.0000000000041,889.999999999996,-100.00000000000013,99.99999999999989,-72.15600138337098,72.15600138337098,755561.5824049178,-375.00000281088387,0.0,5.000591628287696,1.55e-06,1.726022127952359,1113562.6631950703,5330.190413730392,113569.18164532335,112114.87907204538,100,140,750

capsule,-940.0000000000009,939.999999999999,-100.00000000000027,99.99999999999974,-72.27495684247287,72.27495684247287,798933.2967327606,-399.99999511610207,0.0,5.008255166248479,1.55e-06,1.8247100472490876,1177232.2885477985,5647.378118499596,133745.39779547826,132205.71247500044,100,140,800

capsule,-989.9999999999995,990.0000000000005,-100.00000000000023,99.99999999999977,-72.3941979148562,72.3941979148562,842304.3468188375,-424.99999147676886,0.0,5.01538622536399,1.55e-06,1.923414811683193,1240912.7817310924,5964.606871854978,156203.5030011139,154578.44628577144,100,140,850

capsule,-1039.9999999999989,1040.0000000000011,-100.00000000000014,99.99999999999986,-72.51333887921122,72.51333887921122,885674.528556129,-449.9999902247423,0.0,5.021937956303118,1.55e-06,2.0221271757997124,1304598.1779352983,6281.855482035695,181066.55179797072,179356.12723145957,100,140,900

capsule,-1089.9999999999975,1090.0000000000025,-100.00000000000023,99.99999999999977,-72.63255789888008,72.63255789888008,929045.5774905763,-474.9999948325184,0.0,5.027766706413453,1.55e-06,2.120831865840088,1368278.6231226374,6599.084317867237,208456.65305029415,206660.85781084403,100,140,950

capsule,-260.0000000000001,259.9999999999999,-100.0,100.0,-80.69584303024604,80.69584303024604,219526.9306899886,-49.999999990851016,0.0,4.701428603661537,1.55e-06,0.5065683262533952,326818.2750021905,1649.6552184130169,3673.619567010428,3037.285110899724,100,160,100

capsule,-310.00000000000017,309.9999999999998,-100.0,100.0,-80.80523534679958,80.80523534679958,265907.17333357694,-75.00000009505652,0.0,4.810284930792503,1.55e-06,0.6126847703688385,395280.49701215385,2059.6532600077094,5839.784054555092,5051.47157722459,100,160,150

capsule,-360.0000000000002,359.9999999999998,-100.0,100.0,-80.91728541461256,80.91728541461256,312310.22445119394,-99.99999969387564,0.0,4.89341914630696,1.55e-06,0.7182863871505378,463410.5723551857,2467.960077508626,8767.574949555654,7828.041562259009,100,160,200

capsule,-409.99999999999994,410.00000000000006,-100.0,100.0,-81.03112687089845,81.03112687089845,358712.9960127858,-124.99999407710348,0.0,4.955352348551061,1.55e-06,0.8238905988016396,531542.3218075094,2876.266997658119,12593.226720513929,11502.47492610606,100,160,250

capsule,-460.0000000000004,459.99999999999955,-100.0,100.00000000000001,-81.14622591078202,81.14622591078202,405115.8221263119,-149.99999988006033,0.0,5.003384803350919,1.55e-06,0.9294996138730752,599677.1702406937,3284.5783591318686,17448.79164920144,16206.82833656361,100,160,300

capsule,-510.0000000000006,509.99999999999943,-99.99999999999996,100.00000000000004,-81.26223844910893,81.26223844910893,451501.99084599415,-175.00002913979378,0.0,5.0391343957830275,1.55e-06,1.0350991792474373,667805.9220951209,3692.625935196694,23465.245783290546,22072.79511068878,100,160,350

capsule,-560.0000000000001,559.9999999999999,-100.00000000000017,99.99999999999983,-81.37893387241569,81.37893387241569,497902.40945584804,-200.00000135490862,0.0,5.069999852488633,1.55e-06,1.1407034901702564,735937.7355937138,4100.892254870018,30776.510410687784,29232.913382158713,100,160,400

capsule,-609.9999999999998,610.0000000000002,-100.00000000000006,99.99999999999994,-81.49615235462178,81.49615235462178,544302.1440210822,-224.99999361583727,0.0,5.095898321781086,1.55e-06,1.2463121206474772,804072.3359015982,4509.170704706149,39513.729076485324,37818.98278903363,100,160,450

capsule,-660.0000000000001,659.9999999999998,-100.00000000000006,99.99999999999996,-81.61377989014493,81.61377989014493,590702.2961189525,-249.99998445399277,0.0,5.117623887490472,1.55e-06,1.3519164101998578,872204.1356128114,4917.436871730677,49808.762296306224,47962.87186008795,100,160,500

capsule,-710.0000000000007,709.9999999999993,-100.00000000000007,99.99999999999993,-81.7317331049792,81.7317331049792,637102.9170860627,-275.0000000603055,0.0,5.1361554741399935,1.55e-06,1.4575182644198437,940334.3641418347,5325.694166875143,61793.61946959333,59796.58971888353,100,160,550

capsule,-760.0000000000022,759.9999999999978,-100.00000000000004,99.99999999999996,-81.84994968875084,81.84994968875084,683503.5511064109,-300.0000000820906,0.0,5.152156768693217,1.55e-06,1.5631192296479333,1008464.0191276988,5733.95031935492,75600.3331698692,73452.16454637641,100,160,600

capsule,-810.0000000000009,809.9999999999992,-99.99999999999977,100.00000000000023,-81.96838217894066,81.96838217894066,729904.7504395235,-324.9999960843778,0.0,5.16583565965776,1.55e-06,1.668708238121826,1076585.9600785973,6142.169906357229,91360.45621926547,89061.1483586197,100,160,650

capsule,-860.0,860.0,-100.00000000000036,99.99999999999964,-80.08122678555348,80.08122678555348,776305.326752567,-350.00000195963156,0.0,5.178205659592268,1.55e-06,1.774310749780843,1144716.6127618342,6550.427687982787,109206.90687744119,106756.45881021957,100,160,700

capsule,-910.0000000000013,909.9999999999986,-100.0000000000002,99.99999999999982,-80.19998865419873,80.19998865419873,822705.8898129216,-375.0000018659,0.0,5.189198740848151,1.55e-06,1.8799145805068536,1212848.1164560346,6958.688058869353,129271.370457514,126669.7810091552,100,160,750

capsule,-959.9999999999991,960.0000000000009,-99.99999999999997,100.00000000000004,-82.3246447543855,82.3246447543855,869105.8220841989,-399.99997511322954,0.0,5.199129641073775,1.55e-06,1.985522935686218,1280982.5391523987,7366.9607435601065,151686.07247575556,148933.34293977814,100,160,800

