vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,2585.693315843595,11867.509428857458,11867.509428857458,50.00000000000001,-9.133869239042345e-16,-43.1,212.5465280481636
capsule,9671.739394430411,9671.739394430411,9671.739394430411,50.000000000000014,-4.692858300305699e-16,-43.100000000000016,206.1546631436539
capsule,10587.131042896657,10587.131042896657,10587.131042896657,49.999999999999986,-4.223481227008783e-16,-43.099999999999994,200.73836374486416
capsule,9999.849955057889,9999.849955057889,9999.849955057889,50.0,1.1744015859922772e-15,-43.10000000000001,211.97580984537956
capsule,2773.747007777928,9476.71916409912,9476.71916409912,50.00000000000001,3.8479507081048754e-16,-43.100000000000016,225.0425719533746
capsule,10844.918619466252,10844.918619466252,10844.918619466252,50.0,9.486939646405992e-16,-43.10000000000001,218.08305593951584
capsule,8373.926492346054,8373.926492346054,8373.926492346054,50.0,-1.5162711979415525e-15,-43.09999999999999,208.6013135485426
capsule,6902.777814441589,6902.777814441589,6902.777814441589,49.999999999999986,0.0,-43.1,196.01869279195896
capsule,2497.8081856957483,7963.948459364839,7963.948459364839,50.00000000000001,1.1439004702419381e-15,-43.10000000000001,176.09882918713157
capsule,2493.8280512919023,6506.275209224031,6506.275209224031,50.0,7.676476504895843e-16,-43.099999999999994,169.23466257310113
capsule,7239.955223312658,7239.955223312658,7239.955223312658,49.999999999999986,-3.1543515874145243e-16,-43.099999999999994,169.68898305874478
capsule,2524.0924607958354,6007.818013866178,6007.818013866178,50.00000000000001,4.201019606140202e-17,-43.1,171.55771160540297
capsule,7980.3661419248965,7980.3661419248965,7980.3661419248965,50.0,-2.6104162564738176e-16,-43.10000000000001,154.47204223396523
capsule,8255.498547433377,8255.498547433377,8255.498547433377,50.0,2.766443756781409e-16,-43.1,165.33049196672573
capsule,7370.956629283353,7370.956629283353,7370.956629283353,50.000000000000014,-2.002207502358075e-15,-43.10000000000002,177.92368578178286
capsule,2480.1427540085697,7841.434734942143,7841.434734942143,50.00000000000001,-5.009421754584868e-16,-43.10000000000001,165.39386992648446
capsule,7853.811111514029,7853.811111514029,7853.811111514029,50.00000000000001,-1.0460545209440132e-15,-43.10000000000001,159.82725577723767
capsule,2526.6444096209775,5699.434598316062,5699.434598316062,49.99999999999999,-3.8742169556864233e-16,-43.1,156.757580857219
capsule,2466.0072345447534,7068.82246747029,7068.82246747029,50.0,-4.804408602132491e-16,-43.1,158.42940978452472
capsule,2432.40621396412,8091.555456020973,8091.555456020973,50.000000000000014,3.3416981391355236e-16,-43.10000000000001,159.59065374331243
capsule,2435.6856795994913,6335.962333508537,6335.962333508537,50.0,3.871110002651831e-16,-43.10000000000001,148.25105834995588
