vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,2743.9569862434355,5846.39469254137,5846.39469254137,50.00000000000001,3.4655015027308043e-16,-43.100000000000044,52.43387748434362
capsule,2668.305353209456,7151.056946858358,7151.056946858358,50.00000000000001,1.6436445288300043e-16,-43.1,66.91360178172351
capsule,8928.611956720975,8928.611956720975,8928.611956720975,50.0,2.1581929682214262e-15,-43.1,82.42275684440871
capsule,2561.585715591636,10623.407627730778,10623.407627730778,50.0,1.821997597662288e-16,-43.10000000000001,94.48202017634195
capsule,2605.0751371162305,8868.630394788062,8868.630394788062,50.00000000000001,3.500831307776342e-16,-43.10000000000001,81.95482665369104
capsule,2644.57748091856,7708.299027946607,7708.299027946607,50.0,7.485394852678687e-16,-43.1,72.18686796975186
capsule,8556.16231468037,8556.16231468037,8556.16231468037,49.99999999999999,-9.146867960727476e-16,-43.099999999999994,79.463126393067
capsule,2675.785890700365,6992.865933481654,6992.865933481654,50.0,-3.220480381167809e-16,-43.1,65.33208050066203
capsule,2661.981154274384,7291.003272158339,7291.003272158339,49.99999999999999,-9.804582240437501e-17,-43.1,68.27998418008934
capsule,2624.081644471183,8268.921814002175,8268.921814002175,50.000000000000014,-1.0111102178295225e-15,-43.1,77.08743141924353
capsule,2567.4183424095995,10350.562442736416,10350.562442736416,50.0,-2.1671101557150134e-16,-43.099999999999994,92.67503802296258
capsule,2592.76277117823,9305.560806259104,9305.560806259104,50.0,-5.045790214995907e-16,-43.1,85.29190000406825
capsule,2650.276088763557,7566.182864644355,7566.182864644355,50.0,-1.1535799347860374e-15,-43.1,70.88313005579832
capsule,2575.3293150581653,10001.057557482029,10001.057557482029,49.999999999999986,8.261777660392669e-16,-43.1,90.29122912675547
capsule,11595.466499684995,11595.466499684995,11595.466499684995,50.0,1.844727755746369e-15,-43.10000000000001,100.57589669316664
capsule,12549.995773077866,12549.995773077866,12549.995773077866,50.000000000000014,1.2167825343254395e-15,-43.10000000000001,106.1073007669829
capsule,2519.38014277705,13076.826415242293,13076.826415242293,49.99999999999999,1.5618425528904458e-15,-43.1,108.99516086435601
capsule,2547.0771367730954,11364.215437651346,11364.215437651346,50.000000000000014,1.9190679419192905e-15,-43.1,99.17157060882134
capsule,2581.603731215011,9739.500444651561,9739.500444651561,50.00000000000001,2.811158527947761e-16,-43.1,88.45298149175103
capsule,2558.3060813394186,10782.846489783142,10782.846489783142,49.99999999999999,-5.006251309384328e-16,-43.1,95.5172527445188
capsule,2582.0940289081414,9719.614523756009,9719.614523756009,49.999999999999986,1.0829503680476515e-17,-43.1,88.31122565351063
capsule,9728.435304276138,9728.435304276138,9728.435304276138,49.99999999999999,3.6794099915559154e-16,-43.1,88.37413972581113
capsule,2607.1335010560106,8799.509642905852,8799.509642905852,50.00000000000001,9.750267991693178e-16,-43.10000000000001,81.41154659207311
capsule,2592.6821504628087,9308.560998095443,9308.560998095443,50.0,1.3339814813690026e-15,-43.1,85.31425963200955
capsule,2574.7256084619166,10026.934410273092,10026.934410273092,49.99999999999999,4.4398340958917036e-16,-43.10000000000001,90.47050486263761
capsule,2635.643015525811,7942.73200399224,7942.73200399224,50.000000000000014,1.738116401742565e-16,-43.10000000000001,74.28127955540906
capsule,7979.3623748463,7979.3623748463,7979.3623748463,50.00000000000001,-7.435310999404029e-16,-43.1,74.60248954278693
capsule,9435.304489567492,9435.304489567492,9435.304489567492,50.0,-4.989608367263662e-16,-43.1,86.25226726861379
capsule,10009.753202060305,10009.753202060305,10009.753202060305,50.00000000000001,9.949856970409686e-16,-43.1,90.35152377778768
capsule,2545.2380658741326,11465.00649652698,11465.00649652698,49.99999999999999,7.188065362494032e-16,-43.10000000000001,99.78694144521384
capsule,11398.419481996754,11398.419481996754,11398.419481996754,50.0,1.0008166873581208e-15,-43.1,99.3809781087175
capsule,2543.8226354082685,11543.71022419215,11543.71022419215,50.0,1.0587728792147837e-15,-43.1,100.2639098373959
capsule,2516.986819232013,13246.837268006788,13246.837268006788,50.000000000000014,2.349489434801206e-16,-43.100000000000016,109.90431233720804
capsule,2505.0256009081436,14159.259089597685,14159.259089597685,50.00000000000001,1.6021586418744243e-15,-43.10000000000001,114.60938380462325
capsule,2486.3639800286383,15826.320583303379,15826.320583303379,50.00000000000001,1.2252773480093483e-15,-43.1,122.54334003068612
