capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-151.23596246847276,151.23596246847276,711355.6283817552,-75.00000872430758,0.0,6.4953409639595785,1.55e-06,1.6549345851322759,1067699.7323434039,20344.629060925607,38982.40067429543,32008.081645517672
,-500.0000000000001,499.99999999999983,-200.00000000000006,199.99999999999994,-151.34212012386905,151.34212012386905,796847.2630206486,-100.00001476500304,0.0,6.702559233497662,1.55e-06,1.852544420979494,1195189.9490190283,23325.843765916426,50852.94021232875,42885.42483870222
,-549.9999999999999,550.0000000000001,-200.0,200.0,-151.45043874735006,151.45043874735006,882339.7443704922,-124.9999992258093,0.0,6.868988324805229,1.55e-06,2.0501345194229574,1322667.4318857791,26306.727975375754,65038.80267284188,56078.34319691019
,-600.0000000000003,599.9999999999997,-200.00000000000006,199.99999999999997,-151.5604682349682,151.5604682349682,967831.9993836215,-149.9999976860964,0.0,7.0065693325308125,1.55e-06,2.247734710410495,1450151.4260712874,29287.622434999066,81787.34569607912,71833.97370270654
,-650.0000000000002,649.9999999999998,-200.00000000000009,199.99999999999991,-151.67187071212552,151.67187071212552,1053324.3332100213,-174.99999248489328,0.0,7.121870261931876,1.55e-06,2.4453329755376414,1577634.1777662202,32268.423736930592,101345.43681941165,90399.24227236562
,-700.0000000000007,699.9999999999994,-200.00000000000006,199.99999999999997,-151.7843889519189,151.7843889519189,1138815.6143640655,-200.00003976619232,0.0,7.220363425147949,1.55e-06,2.6429453869451143,1705126.056093622,35249.317245461556,123960.50829449556,112021.4518634232
,-749.9999999999998,750.0000000000001,-200.00000000000003,199.99999999999997,-151.89782444173673,151.89782444173673,1224307.9697262642,-225.0005643628016,0.0,7.304598458980654,1.55e-06,2.8405399388848513,1832606.412183775,38229.9806762176,149878.79616481988,136947.0330147652
,-800.0000000000009,799.9999999999992,-200.00000000000009,199.99999999999994,-152.01202199439862,152.01202199439862,1309800.2400378145,-249.99996356472943,0.0,7.378010376800831,1.55e-06,3.0381389362642137,1960089.6362994928,41210.65425988767,179347.86608047286,165423.39683015546
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-152.12685882039386,152.12685882039386,1395292.5275422977,-275.00002177116437,0.0,7.442504020318295,1.55e-06,3.235741622778895,2087575.240502513,44191.331537002785,212614.71613842284,197697.5671707788
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-152.24223666853757,152.24223666853757,1480784.9242778085,-299.9999708702162,0.0,7.499577414622555,1.55e-06,3.43334269190026,2215059.801225974,47171.97357020408,249926.1510863758,234016.3461212162
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-150.07923905246028,150.07923905246028,1566277.2388034288,-324.99985391976713,0.0,7.550395639583937,1.55e-06,3.63094193445896,2342543.1835219096,50152.57873739071,291529.1349162651,274626.704202188
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-152.47431226815232,152.47431226815232,1651768.319409323,-350.0000166127052,0.0,7.596391099582826,1.55e-06,3.8285597252889763,2470038.532444501,53133.36044293932,337672.0014579183,319776.8486406419
